               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089407,            0.030499,                   0,            0.021533,                 0.9,            0.072898,            0.020098,            0.060262,            0.019112,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.06438,            0.029354,                   0,             0.51697,             0.74286,             0.59692,              0.2087,            0.028614,            0.014706,                   0,            0.073871,           0.0028713,           0.0028713
                   2,            0.053509,            0.023989,                   0,             0.83476,             0.86606,             0.93055,             0.38661,            0.025132,           0.0099508,                   0,            0.060313,           0.0043129,           0.0043129
                   3,            0.051997,            0.018064,                   0,             0.53105,             0.74286,             0.69066,             0.32044,            0.029997,           0.0071933,                   0,            0.046725,           0.0057248,           0.0057248
                   4,             0.04382,            0.017572,                   0,             0.63695,             0.80203,             0.83357,              0.5097,            0.019904,           0.0067572,                   0,            0.033107,            0.007107,            0.007107
                   5,            0.042404,            0.015884,                   0,             0.59399,             0.78571,             0.65185,             0.32525,             0.02822,           0.0057405,                   0,            0.019459,           0.0084594,           0.0084594
                   6,            0.042562,              0.0149,                   0,              0.6271,             0.72857,             0.69638,              0.2453,            0.025689,           0.0044685,                   0,            0.009406,            0.009406,            0.009406
                   7,            0.040935,            0.014682,                   0,             0.51438,             0.89281,             0.61676,             0.27961,            0.027802,           0.0045406,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.043668,            0.014097,                   0,             0.79759,             0.78571,              0.8377,             0.28464,            0.024789,           0.0045739,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042187,            0.014261,                   0,             0.86146,             0.88571,             0.92082,             0.36358,            0.022088,           0.0056471,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.032185,            0.013532,                   0,             0.89542,             0.98571,              0.9606,             0.39176,            0.020225,           0.0046381,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.029131,            0.012152,                   0,             0.74331,             0.95714,              0.8752,             0.47645,            0.020749,           0.0045295,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.035979,            0.012792,                   0,             0.98277,             0.98571,             0.98734,             0.45441,             0.02166,            0.003632,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033306,             0.01197,                   0,             0.97179,             0.98433,             0.97344,             0.64582,            0.016065,           0.0039036,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032136,            0.012026,                   0,             0.72985,             0.95714,              0.8726,              0.3676,            0.027227,           0.0038045,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.025863,            0.011969,                   0,             0.98451,                   1,             0.99204,             0.59712,            0.018462,           0.0034467,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030942,            0.011182,                   0,             0.98454,                   1,             0.98908,             0.65531,            0.015198,           0.0036159,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.03097,            0.011716,                   0,             0.96971,             0.98571,             0.97137,             0.51315,            0.024228,           0.0034622,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02658,            0.010219,                   0,             0.98427,                   1,             0.98838,             0.73723,            0.011967,           0.0034723,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.026354,            0.010669,                   0,             0.98429,                   1,             0.98556,             0.68118,            0.011748,           0.0032651,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.023204,            0.010271,                   0,             0.97057,             0.98571,             0.96898,             0.70837,            0.018955,           0.0031979,                   0,            0.008119,            0.008119,            0.008119
